SheetName,Arabic Name,English Name,Series /        One Off / Fillers,Series Name,Ep.,Unit By Hour,Duration,Country,Language,Arabic Synopsis,English Synopsis,Notes
AJD Catalogue,الشعب لجان,Popular Committees,One Off,/,1,1,00.46.29,مصر,العربية ,حاول نظام مبارك ضرب الثوار في حينما فتح السجون ودعا وسائل الإعلام إلى تخويف الشعب من البلطجية والهاربين، فقام الثوار والشعب المصري بأكمله بإقامة لجان شعبية لحماية المساكن والمنشآت والأشخاص. في النهار كانت ثورة في الميادين من أجل استكمال مطالبهم، وفي الليل يصبح الشعب لجان. في هذا الفيلم نرصد أنشطة اللجان الشعبية في المحافظات الثلاث الرئيسية القاهرة والاسكندرية والسويس.,"Mubarak's regime tried to hit the rebels when they opened the prisons and released the dangerous inmates and then pushing the media to the panic the revolutionists  by emphasizing on the threats thugs and the escaped prisoners in the streets.  the revolutionist the Egyptian citizens acted upon and created popular committees to protect the people and the proprieties. They were protesting against the regime during the day, and protecting the proprieties at night. This film sheds the light on the activities of these committees in three major cities in Egypt, Cairo, Alexandria and Suez.",
AJD Catalogue,يوميات التحرير,Stories From Tahrir Square,One Off,/,1,1,00.48.25,مصر,العربية ,يحكي الفيلم عن حياة 3 من الشباب ذوي الانتماءات السياسية المختلفة في ( ميدان التحرير ) خلال أيام الاحتجاجات على الثورة حتى عودتهم إلى حياتهم الطبيعية بعد تنحي مبارك,The film tells about Living  of 3 young people with different political affiliations in (Tahrir Square) during the protest days of the revolution until they return to their normal lives after Mubarak stepped down,
AJD Catalogue,36 ساعة من بنغازي إلى بن جواد,36 hours from Bingazi to Binjawad,One Off,/,1,1,00.43.02,ليبيا,العربية ,36 ساعة من بنغازي الى بن جواد هو فيلم وثائقي واقعي يرصد على الأرض بعضا من الصور الواقعية للثورة الشعبية التي قامت في ليبيا عام 2011 .. بالإضافة الى تتبع قصص أحد الثوار الليبيين في أكثر من محطة حتى وصلهم الى خطوط القتال، بقالب انساني وثائقي. أحداث الفيلم تدور قصتها في 36 ساعة متواصلة بين مدينتي بنغازي وبن جواد شرق ليبيا حيث يدور القتال.  ,"36 hours from Bingazi to Binjawad, is a real documentary film, shows in a documentary -humanitarian way some of real stories for the Libyan revolution occurred 2011. In addition to that, the film displays the story of one of the Libyan revolutionists, from the beginning till he reached the confronting lines. The film tells the story of 36 hours between Bingazi and Binjawad in the west of Libya where all the fights took place.",
AJD Catalogue,موقعة الجمل,Battle of the Camel,One Off,/,1,1,00.48.53,مصر,العربية ,يوثق هذا الفيلم (موقعة الجمل) التي حدثت في 2 فبراير عام2011 أثناء اشتعال جذوة الثورة المصرية، والتي تعد من أهم المعارك التي ساهمت في إعطاء الثورة زخما شعبيا للاستمرار في ركب الثورة، حيث هوجم فيها متظاهروا ميدان التحرير بالجمال والخيول في صورة تشبه  معارك عصور سالفة وذلك لإرغام الثوار على إخلاء الميدان حيث كانوا يعتصمون، وذلك في محاولة للقضاء على الثورة من خلال القضاء على اعتصام التحرير الذي كان أيقونة هذه الثورة وعنوانها الأهم.,,
AJD Catalogue,مجلس قيادة الثورة,Leaders of 25th Jan Revolution,One Off,/,1,1,00.56.02,مصر,العربية ,"يتحدث الفيلم عن الكيانات السياسية التى كان لها الدور الأهم والأبرز فى ثورة 25 يناير ، وهى "" إئتلاف شباب الثورة "" و "" الإخوان المسلمون "" و "" الحركات الشبابية "" ، مبيناً الدور الذى لعبته كل منها ومدى تأثيره فى أحداث الثورة ، وإلى أى حد ساهم فى نجاحها .","The film revolves around the political forces which have had a most important role in the revolution of January 25, Such as the coalition of youth revolution , the Muslim Brotherhood and youth movements, Indicating the role played by each of these forces in the events of the revolution and its impact and to what contributed to the success.",
AJD Catalogue,الاختبار,Series: Passageway to Tahrir  ,Short Series,الطريق إلى التحرير,3,1,00.46.45,مصر,العربية ," يرصد فيلم ""الطريق الي التحرير"" الأسباب التي تكونت علي مدي ثلاثين عاماً طوال فترة حكم الرئيس المخلوع مبارك ودفعت بالمصريين للخروج يوم 25 يناير في ثورة ضد الظلم والاستبداد والقهر للمطالبة بالحرية وتوفير العيش والعدالة الاجتماعية. لذا فإن الفيلم يرصد من خلال شهود عيان وصناع القرار ومحللين سياسيين ما الذي حدث في الثلاثين عاماً؟  وكيف أدار مبارك تلك الفترة الطويلة من الحكم؟ وكيف كان رد القوي السياسية ورد الشارع؟","“Al tarek ela altahrier” is a film that sheds the light on the reasons that have been formed and accumulated during the last 30 years of under the presidency of president Mubark. Those reasons that pushed the Egyptian people to go out to the streets and start the revolution on 25th of January against injustice, oppression, seeking freedom and social justice. The film investigates what happened during the last 30 years; how did Mubark ruled Egypt for that long time and how the Political forces and the people reacted and dealt to that dictatorship.  Witnesses, Decision-makers and Political analysts will be interviewed and give their opinions on what happened in that period of the Egyptian history.",
AJD Catalogue,الجمود,Series: Passageway to Tahrir  ,Short Series,الطريق إلى التحرير,3,1,00.48.47,مصر,العربية ," يرصد فيلم ""الطريق الي التحرير"" الأسباب التي تكونت علي مدي ثلاثين عاماً طوال فترة حكم الرئيس المخلوع مبارك ودفعت بالمصريين للخروج يوم 25 يناير في ثورة ضد الظلم والاستبداد والقهر للمطالبة بالحرية وتوفير العيش والعدالة الاجتماعية. لذا فإن الفيلم يرصد من خلال شهود عيان وصناع القرار ومحللين سياسيين ما الذي حدث في الثلاثين عاماً؟  وكيف أدار مبارك تلك الفترة الطويلة من الحكم؟ وكيف كان رد القوي السياسية ورد الشارع؟","“Al tarek ela altahrier” is a film that sheds the light on the reasons that have been formed and accumulated during the last 30 years of under the presidency of president Mubark. Those reasons that pushed the Egyptian people to go out to the streets and start the revolution on 25th of January against injustice, oppression, seeking freedom and social justice. The film investigates what happened during the last 30 years; how did Mubark ruled Egypt for that long time and how the Political forces and the people reacted and dealt to that dictatorship.  Witnesses, Decision-makers and Political analysts will be interviewed and give their opinions on what happened in that period of the Egyptian history.",
AJD Catalogue,التوريث,Series: Passageway to Tahrir  ,Short Series,الطريق إلى التحرير,3,1,00.52.11,مصر,العربية ," يرصد فيلم ""الطريق الي التحرير"" الأسباب التي تكونت علي مدي ثلاثين عاماً طوال فترة حكم الرئيس المخلوع مبارك ودفعت بالمصريين للخروج يوم 25 يناير في ثورة ضد الظلم والاستبداد والقهر للمطالبة بالحرية وتوفير العيش والعدالة الاجتماعية. لذا فإن الفيلم يرصد من خلال شهود عيان وصناع القرار ومحللين سياسيين ما الذي حدث في الثلاثين عاماً؟  وكيف أدار مبارك تلك الفترة الطويلة من الحكم؟ وكيف كان رد القوي السياسية ورد الشارع؟","“Al tarek ela altahrier” is a film that sheds the light on the reasons that have been formed and accumulated during the last 30 years of under the presidency of president Mubark. Those reasons that pushed the Egyptian people to go out to the streets and start the revolution on 25th of January against injustice, oppression, seeking freedom and social justice. The film investigates what happened during the last 30 years; how did Mubark ruled Egypt for that long time and how the Political forces and the people reacted and dealt to that dictatorship.  Witnesses, Decision-makers and Political analysts will be interviewed and give their opinions on what happened in that period of the Egyptian history.",
AJD Catalogue,جمهورية التحرير,The New Republic,One Off,/,1,1,00.47.11,مصر,العربية,(جمهورية التحرير) هو تعبير مجسد لجمهورية جديدة نشأت في ميدان التحرير بعد مساء 28 يناير 2011، تجسدت فيها كل مقومات الدولة ومؤسساتها المختلفة، من إعلام وحراسة وصحة وغيرها من مقومات الدولة. قامت تلك الجمهورية على أرض ميدان التحرير مدة 18 يوم. كيف تكونت؟ وكيف عملت؟ هذا ما يعرضه الفيلم.,"“The New Republic” is an embodiment of what Tahrir Square witnessed after 28 Jan, Friday of Rage, where all factors of a republic took place. This place turned out to be, not only a famous square, but rather a republic in which all elements and institutions of government were held, such as health, media, and security services. This republic was alive throughout the 18 days of the revolution. The documentary sheds light on the “where – how – why” triple of this republic. ",
AJD Catalogue,يوميات الثورة المصرية : 24 يناير,egyptian revelation dairy - ,Long Series,يوميات الثورة المصرية,20,1,00.50.31,مصر,العربية ,مجموعة أفلام توثق تطور حكاية الثورة المصرية يوما بيوم ابتداء من الرابع والعشرين من يناير حتى الثاني عشر من فبراير 2011.,,
