SheetName,Arabic Name,English Name,Series /        One Off / Fillers,Series Name,Ep.,Unit By Hour,Duration,Country,Language,Arabic Synopsis,English Synopsis,Notes
AJD Catalogue,أمهات لاجئات - سناء ,SNAA,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:16:14,العراق / اليونان,العربية,سناء أم عراقية لاجئة، وصلت إلى شمال ليسبوس مع زوجها الجريح وابتيهما الصغرى. إنهم يسيرون على خطى ابنهما الذي كان قد تمكن من الوصول إلى ألمانيا. يرافق الفيلم سناء في رحلتها من ليسبوس، عبر إيدوميني، إلى أن تبلغ ألمانيا الغربية، حيث تأمل الأسرة في الالتقاء بابنها. ستقصّ رحلتها هذه في رسالة سترسلها إلى ابتيها اللتين تركتهما خلفها في العراق,"Snaa is an Iraqi refugee mother who arrives in the North of Lesbos with her war injured husband and her young daughter. They are following their son, who is already in Germany. The film will follow Snaa in her journey from Lesbos, through Idomeni until her arrival in Western Germany, where they will hope to meet their son. She will narrate this journey in a letter she will write to the two daughters she left behind in Iraq. ",
AJD Catalogue,أمهات لاجئات -مدينة ,MEDINA,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:15:04,إثيوبيا / فرنسا,العربية,مدينة أم إثيوبية، وهي حامل وقد وصلت لتوّها إلى باريس. ستبدأ في كتابة رسالة لابنها الذي لم يولد بعد، تشرح له فيها السبب الذي دفعها إلى مغادرة وطنها الأم، وتصف له أهوال ما واجهته وتحدّثه فيها عن صعوبة العيش في العراء في شوارع باريس. وبينما تكتب رسالتها، ستشهد مدينة، مع اللاجئين الآخرين الذين يعيشون في الشوارع، تعرّضهم لعنف شرطة مكافحة الشغب الفرنسية. ,"Medina is an Ethiopian mother, she is pregnant and just arrived illegally in Paris. She will start writing a letter to her unborn son explaining the reasons for flying her country, the things she went through and how difficult it is living in the streets of Paris. While writing this letter, Medina and all the other migrants living in the street will experience violence from French police riots. ",
AJD Catalogue,أمهات لاجئات - زهراء,ZAHRA ,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:16:12,فلسطين / سوريا /ألمانيا,العربية,مشهد حميمي مؤثّر لامرأة فلسطينية لاجئة قادمة من مخيم اليرموك للاّجئين في سوريا. تكتب زهراء رسالة لابنها المُتوفّى تقصّ عليه فيها ما حدث لها ولأسرتها في سورية بعد موته. تشرح زهراء كيف هربت من جحيم الحرب مع ابنتها الصّغرى، حنون، وما لقيتاه معا من مصاعب إلى أن التحقتا بباقي أفراد الأسرة-زوج زهراء وابنتيهما الأخرتين-بعد أن فرقتهم الحرب. تعيش زهراء اليوم مع أسرتها في برلين عاصمة ألمانيا، لكن حياتها ليست يسيرة دون وجود ابنها الحبيب معها,"An intimate portrait of a Palestأمهاتinian refugee woman from Al-Yarmouk refugee camp in Syria. Zahra writes a letter to her dead son narrating what happened to her and their family after his death in Syria. How she escaped from the war with her younger daughter Hanoun and the things they went through until meeting with the rest of the family, Zahra’s husband and their other daughters who had been separated during the war. Today, Zahra and her family live in Berlin, Germany, but life is not easy for her without her beloved son. ",
AJD Catalogue,أمهات لاجئات - إنصاف ,ENSAAF ,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:15:57,السودان / فرنسا,العربية,"إنصاف لاجئة من السودان تعيش في شمال فرنسا مع ابنيها. عاشت أسرتهم في البداية في مخيمّ ""الغابة"" في مدينة كاليه الفرنسية قبل أن تمنحهم الحكومة الفرنسية سكنا يقع بالقرب من المدينة. لكنّ السلطات رفضت طلب منحهم صفة اللاجئين في فرنسا، ويرغب ابناها في السفر إلى إنجلترا. تتخوف إنصاف من إقدام ابنيها على امتطاء إحدى الشاحنات ومحاولة العبور بشكل غير قانوني إلى المملكة المتحدة، ومن ثمّ قرّرت كتابة رسالة تشرح لهما فيها مخاوفها.",Ensaaf is a refugee from Sudan who lives in the North of France with her two sons. They started living in “The jungle” of Calais until the French government granted them a house in a nearby city. But they have been denied refugee status in France and her sons want to travel to England. She fears they will jump on a truck and try to cross illegally into the UK and therefore she writes a letter to them explaining her fears. ,
AJD Catalogue,أمهات لاجئات - حليمو ,HALIMO ,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:15:48,الصومال / النمسا,العربية,مشهد حميمي مؤثر لأم صومالية لاجئة غادرت بلدها مخلّفة وراءها ابنتيها اللتين تركتهما مع والدتها. في هذا الوثائقي، تعترف حليمو لابنتيها، عبر رسالة كتبتها لهما، أنّ المرأة التي تعيشان معها ليست هي الشخص الذي تعتقدان، فهي ليست أمهما. تشرح حليمو في رسالتها لابنتيها الأسباب التي دفعتها لهجرهما وتصف لهما فيها متاعب رحلتها التي عبرت خلالها أكثر من عشر دول لتصل إلى النّمسا أين تعيش منذ سنتين. تُبيّن حليمو صعوبة إعادة بناء حياة جديدة كلاجئة، بعيدة عن ابنتيها، في أجواء مهما بدت مسالمة إلا أنها بعيدة كل البعد عن الصورة التي رسمتها في مخيلتها عندما هجرت وطنها. ,"An intimate portrait of a Somali refugee mother who has fled the show to in her country leaving her two sho daughters behind with her mother. In this documentary Halimo confesses to her children, through a letter that the person with whom they live is not who they believe and will explain to them the reasons why she had to abandon them and her journey through more s ten countries until arriving in Austria, where she lives for two years. Halimo shows show hard it is to undertake a new life as a refugee, away from her daughters, in an environment that although peaceful, is far from what she imagined when leaving her homeland. ",
AJD Catalogue,أمهات لاجئات - أوجينيا ,EUGENIA ,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:14:15,أوكرانيا / إسبانيا,العربية,أوجينيا أم أوكرانية وصلت، قبل بضعة أشهر، إلى إسبانيا صحبة زوجها وابنتيهما نيكول. لم تكن تعرف، في بداية الأمر، السبب الحقيقي الذي دفعهم لمغادرة أوكرانيا، لكنها اليوم تعلم. ستشرح أوجينا كل ذلك لابنتها نيكول، وابنها أدريان حديث الولادة، في رسالة كانت تكتبها في وجود والدي زوجها الذين وصلا هما بدورهما إلى مدريد، أين يعيشان الآن بعد أن هجرا أوكرانيا لنفس السبب الذي دفع أوجينيا وزوجها لفعل ذلك. ,"Eugenia is a Ukrainian mother who arrived in Spain few months ago with her daughter Nicole and her husband. At first, she didn’t know the real reasons why they were flying Ukraine, but today she knows. She will explain all that to her daughter Nicole and her newly born son, Adrian, in a letter she writes while her parents in law also arrive in Madrid, where they live now, fleeing from Ukraine for the same reasons they did. ",
AJD Catalogue,أمهات لاجئات - كلاوديا ,CLAUDIA,Long Series,أمهات لاجئات Refugee Mothers,9,0.25,00:16:01,كلاوديا / إسبانيا,العربية,كلاوديا لاجئة كولومبية تُقيم في إسبانيا. تركت بلدها بعد أن أُفرج عنها على إثر اختطافها وتعذيبها واغتيال أخيها بسبب ما كانت تمارسه من أنشطة سياسية واجتماعية. بعد جهود مضنية صاحبها اليأس، استطاعت أن تستقدم والدتها وكل أبنائها ليكونوا معها باستثناء شخص واحد، ابنها الوحيد إدوارد، الذي تلقّى اليوم رسالة تهديد بالقتل بينما يكافح من أجل حياة عادية، وينام كل يوم في مكان مختلف عن سابقه ويحاول تحقيق طموحه. من فالنسيا، حيث تعيش كلاوديا، ستكتب رسالة لابنها تشرح له فيها أمورا ما كانت تجرؤ على البوج بها لأيٍّ من أفراد عائلتها,"Claudia is a Colombian refugee living in Spain. She left her country after being freed from a kidnapping in which she was mistreated and after the murder of her brother because of her political and social activism. After much effort and desperation, she manages to take her mother and all her children with her, except for one, her only son, Edward, who today receives a death threatening letter while fighting for a normal life, sleeping every day in a different place and trying to get his career out. From Valencia, where Claudia lives, she will write a letter to her son explaining things she never dared tell him or anyone in her family. ",
AJD Catalogue,نبض الشارع,A Beat to the Street,One Off,/,1,1,00:53:00,مصر / أمريكا,العربية,"لم يستطع محمد سوى ادخار ثمن تذكرته للطائرة المتجهة للولايات المتحدة، وقد سافر إلى هناك بدون أي مليم. وهناك انطلق محمد إلى الشوارع ليؤدي عروضه الموسيقية، والتي عن طريقها استطاع أن يوفر لنفسه ثمن المعيشة وأن يتجول بين الولايات متفاعلا مع مختلف موسيقِييّ الشارع في 8 ولايات مختلفة. بداية من بوسطن على الساحل 
الشرقي وانتهاءً بسياتل في الساحل الغربي 
في هذا الفيلم، سنرى مثالًا عن كيف يدفع الشغف بالإنسان فيأخذه إلى أبعد مما كان يتوقع.
","A Beat to the street is a 53-minute Documentary about beat boxer ""Mohamed El Baih's
Musical Journey in the United States. Mohamed was only able to save up to buy his plane ticket to the U.S and went there without a penny. Mohamed went down the streets to perform and through it he was able to make a living and get to tour the states. Throughout his journey, he was able to collaborate with different street musicians in 8 states and 10 cities starting from Boston in the East Coast and all the way to Seattle in the West Coast.",
AJD Catalogue,ولد قبل الأوان   ,Life to come  (Dubbed Copy) ,One Off,/,1,1,00:52:08,فرنسا,الفرنسية,,"The twins Eden and Léandro were born severely premature. Once out of the belly of their mother, Laurence, they find themselves propelled into the hostile and worrying world of the hospital, full of the sounds of machines and of doctors in white coats. As the weeks pass in the neonatal service, mother and children fight for survival. Haemorrhages, respiratory problems… Surrounded by the medical team, Laurence lives to the rhythm of the twins, caught between the hope for improvement, fatigue, the ever-present possibility that things will go wrong and the fear they will die. The bond between mother and children is organic, vital. Together, they fight fiercely for life.",مدبلج
AJD Catalogue,الموسيقى الأمازيغية المغربية – الأطلس المتوسط ,Morocain Amazigh Music (1),Short Series,الموسيقى الأمازيغية المغربية Morocain Amazigh Music,2,0.5,00:26:07,المغرب,العربية,سلسلة فنية عن الموسيقى الأمازيغية المغربية بين منطقة الريف والأطلس والجنوب نتعرف من خلالها على الإنتاج الروحي و الفكري للشعوب  الأمازيغية، و الذي يعبر في غالب الأحيان عن عادات و تقاليد و ثقافة هذه المناطق. فلم يعبر بالخصوص على إبداعاتها  الموسيقية و الشعر و في جوانب أخرى من الثقافة الشعبية من خلال أهم الفنانين والموسيقيين من هذه المناطق,Series concerned with monitoring and documenting the Moroccan Amazigh music rich diversity of the Rif Mountains in the north to the southern regions through the Middle  and  small Atlas Mountains,
