topic,count
anxious and exciting mood,1
the film illustrates the story life of the red prince,1
one of the worst countries in the world,1
and find new ways of reconciliation.,1
which was supposed to find a pregnant woman,1
a peasant who comes from his village to the city twice a week to bet on horses. the relationship of “abdallah” with the horses transcends the bet and addiction to reach the identification with their world. abdallah owns an agricultural parcel of land that he inherited from his ancestors,1
environmental and social aspects of fasting as a universal practice.,1
hooves and numbers a documentary about addicts horse race in morocco. how riot bet turns into a social disaster.      “horses of fortune” is a documentary that sheds light on two characters from morocco who are addicted to betting on horse racing. “mr. albert”,1
a man  in his sixties who spent more than thirty years betting on horses’ hoofs,1
has become chased by the horses’ ghosts in his sleep and waking. he and his life are haunted by them more than by his children,1
wife,1
and family. he bets on a daily basis and puts successive numbers that are identical to the horses that will race in a track in france. he hopes each time to win the bet. the horses run while he follows them without stop and continues to put numbers and probabilities. he bet on horses that gave birth to others and that left this world while he has still been sitting in the same place in the habitual café known for horses’ bets.  at the end of each race,1
"“albert” usually smiles and starts listing the names of the horses he bets on before embarking upon telling about the many times when luck smiled to other bettors who won unimaginable sums of money which changed their lives. “albert” ends his miserable life alone living with what remains from a salary that is ravaged by bank loans and credits.   

the second character is “mr. abdallah”",1
and a horse that he loves more than his children,1
and die some birth due to dystocia or absence of health care,1
and that he personally feeds and cleans. abdallah has never won and he still continues to bet tirelessly. each combination is equivalent to ten dirhams,1
each number equals the same amount,1
and the total amount makes hundreds dirhams. then,1
the race ends up and the horses go back to their stables and abdallah to his misfortune and anguishes. when he run out of money,1
“abdllah” had to sell his beloved horse (mare) so as to bet on horses’ hoofs in races that took place away from his village.,1
the film focuses about the hard life of pregnant women living in somalia,1
as the numbers magnify pregnant women in difficult circumstances during delivery,1
quds culture life,1
the documentary recording a very special moments in mr. isaaf nashashibi life and his fundamental role in al,1
quds history,1
narrative and chronological treatment of history.   he has made great inroads in the post,1
"the film documents the life and biography of the palestinian singer and poet ""abu arab""",1
who is considered a living memory of the palestinian musical heritage. it sheds light on his own revolution,1
on the struggle of the characters and melodies,1
which only ceased upon his death,1
and on the footprint he left as a palestinian poet and folklore singer,1
who chronicled his cause and concerns of those who were deported from their homeland through his songs and poe,1
el rehany's life journey is more than just that of an egyptian actor from the golden age of cinema,1
his life was full of insightful contradictions and conflicts. the audience actually pushed him towards comedy when they saw him as a natural born comedian,1
he was also a sarcastic philosopher who used humor to criticize contradictions of the society and used art as a tool for revolution. he used sarcasm to enlighten people about bad political conditions and to attack the british and the egyptian royal palace altogether,1
the thing that gained him lots of oppression and grudges. el rehany's character and manners were as great as his art,1
and in this documentary,1
we try to document his great life in a different way and at the same time to unwrap the mystery that covered many sides of his life.,1
the film trying to touch upon the details of what happened inside the field hospital. it held within the victims of one of the vastest massacres against sit,1
inners in modern age,1
according to h.r.w.,1
"the documentary is about the  algerian scholar and thinker mohamed arkoun who is considered as the most influential secular scholars in islamic studies.  
the documentary shows that he was a modernist and critical voice in the contemporary world",1
treating islam as a religion as well as a time,1
leaving a psychological effects on all egyptians that are not yet known.,1
how they see the society around them? what brought them to the leaving decision? how did they try to leave? how did they dealt with their failed attempt(s)? linking all that to the states of hope and depression that followed the 25th of january revolution,1
"which was ""leaving"" everything behind.

the film deepens in each's life details from their own perspective",1
and though met with difficulties upon landing in tunis,1
"and how career move between shaibi family.
film offers how kiswah of holy kaaba made",1
and how kaaba wash,1
family rules.,1
freedom journey” is a film that tells the story of sheikh imam beginning from when his travel ban was lifted. his journey began in the mid 1980’s starting with paris then followed by various european cities. he embarked on a series of concerts,1
captivating audiences from all over europe and the arab world. however,1
a downfall took place in algeria as he became estranged from his companion the infamous ahmed fouad negm. yet,1
he continued to tour,1
he entered the country and was astounded by the love of his audiences who knew his lyrics by heart. sheikh imam continues to live among the younger generations even after his death. his music resonated as a voice of freedom during the arab spring in all the squares throughout the region.,1
their paths were so different but led to the same end,1
a film that follows the story of abdo mousa,1
